Month,B,PE,O,M
1/1/2017,44325,23053,7255,14017
2/1/2017,56118,25227,7345,23545
3/1/2017,96825,47105,8192,41527
4/1/2017,113667,44707,14204,54757
5/1/2017,88757,50723,8552,29482
6/1/2017,110593,55330,17256,38007
7/1/2017,133696,59250,30313,44134
8/1/2017,99381,70271,24839,4271
9/1/2017,156394,54892,35909,65593
10/1/2017,183833,57554,15084,111195
11/1/2017,162484,71138,51410,39936
12/1/2017,91355,73915,27506,-10065
1/18/2018,125329,82148,19115,24065
2/18/2018,166261,77706,32762,55793
3/31/2018,152112,86576,22760,42776
4/1/2018,185519,104570,48197,32752
5/1/2018,220200,102967,31545,85688
6/1/2018,256692,113512,38951,104229
7/1/2018,271497,105070,54590,111837
8/1/2018,313758,180996,37654,95107
9/1/2018,192582,110046,59386,23151
10/1/2018,217031,105659,40541,70831
11/1/2018,263067,112767,28916,121384
12/1/2018,223662,160984,49749,12929
1/1/2019,150753,92620,36982,21151
2/1/2019,184989,91925,36554,56511
3/1/2019,176425,103732,43726,28966
